date,Nascimentos
01/08/2014,7.696
02/08/2014,7.696
03/08/2014,7.696
04/08/2014,7.696
05/08/2014,7.696
06/08/2014,7.696
07/08/2014,7.696
08/08/2014,7.696
09/08/2014,7.696
10/08/2014,7.696
11/08/2014,7.696
12/08/2014,7.696
13/08/2014,7.696
14/08/2014,7.696
15/08/2014,7.696
16/08/2014,7.696
17/08/2014,7.696
18/08/2014,7.696
19/08/2014,7.696
20/08/2014,7.696
21/08/2014,7.696
22/08/2014,7.696
23/08/2014,7.696
24/08/2014,7.696
25/08/2014,7.696
26/08/2014,7.696
27/08/2014,7.696
28/08/2014,7.696
29/08/2014,7.696
30/08/2014,7.696
31/08/2014,7.696
01/09/2014,8.043
02/09/2014,8.043
03/09/2014,8.043
04/09/2014,8.043
05/09/2014,8.043
06/09/2014,8.043
07/09/2014,8.043
08/09/2014,8.043
09/09/2014,8.043
10/09/2014,8.043
11/09/2014,8.043
12/09/2014,8.043
13/09/2014,8.043
14/09/2014,8.043
15/09/2014,8.043
16/09/2014,8.043
17/09/2014,8.043
18/09/2014,8.043
19/09/2014,8.043
20/09/2014,8.043
21/09/2014,8.043
22/09/2014,8.043
23/09/2014,8.043
24/09/2014,8.043
25/09/2014,8.043
26/09/2014,8.043
27/09/2014,8.043
28/09/2014,8.043
29/09/2014,8.043
30/09/2014,8.043
01/10/2014,7.447
02/10/2014,7.447
03/10/2014,7.447
04/10/2014,7.447
05/10/2014,7.447
06/10/2014,7.447
07/10/2014,7.447
08/10/2014,7.447
09/10/2014,7.447
10/10/2014,7.447
11/10/2014,7.447
12/10/2014,7.447
13/10/2014,7.447
14/10/2014,7.447
15/10/2014,7.447
16/10/2014,7.447
17/10/2014,7.447
18/10/2014,7.447
19/10/2014,7.447
20/10/2014,7.447
21/10/2014,7.447
22/10/2014,7.447
23/10/2014,7.447
24/10/2014,7.447
25/10/2014,7.447
26/10/2014,7.447
27/10/2014,7.447
28/10/2014,7.447
29/10/2014,7.447
30/10/2014,7.447
31/10/2014,7.447
01/11/2014,7.400
02/11/2014,7.400
03/11/2014,7.400
04/11/2014,7.400
05/11/2014,7.400
06/11/2014,7.400
07/11/2014,7.400
08/11/2014,7.400
09/11/2014,7.400
10/11/2014,7.400
11/11/2014,7.400
12/11/2014,7.400
13/11/2014,7.400
14/11/2014,7.400
15/11/2014,7.400
16/11/2014,7.400
17/11/2014,7.400
18/11/2014,7.400
19/11/2014,7.400
20/11/2014,7.400
21/11/2014,7.400
22/11/2014,7.400
23/11/2014,7.400
24/11/2014,7.400
25/11/2014,7.400
26/11/2014,7.400
27/11/2014,7.400
28/11/2014,7.400
29/11/2014,7.400
30/11/2014,7.400
01/12/2014,7.583
02/12/2014,7.583
03/12/2014,7.583
04/12/2014,7.583
05/12/2014,7.583
06/12/2014,7.583
07/12/2014,7.583
08/12/2014,7.583
09/12/2014,7.583
10/12/2014,7.583
11/12/2014,7.583
12/12/2014,7.583
13/12/2014,7.583
14/12/2014,7.583
15/12/2014,7.583
16/12/2014,7.583
17/12/2014,7.583
18/12/2014,7.583
19/12/2014,7.583
20/12/2014,7.583
21/12/2014,7.583
22/12/2014,7.583
23/12/2014,7.583
24/12/2014,7.583
25/12/2014,7.583
26/12/2014,7.583
27/12/2014,7.583
28/12/2014,7.583
29/12/2014,7.583
30/12/2014,7.583
31/12/2014,7.583
01/01/2015,8.096
02/01/2015,8.096
03/01/2015,8.096
04/01/2015,8.096
05/01/2015,8.096
