,X,date,mes,weekday,margem,venda,desconto,outdesc,outmg
1,1,20140801,agosto,sexta-feira,406.110.543,110042.46,9.190.907.534,0,0
2,2,20140802,agosto,s?bado,416.021.817,58377.32,5.713.043.012,0,0
3,3,20140803,agosto,domingo,431.992.818,64635.39,8.621.708.915,0,0
4,4,20140804,agosto,segunda-feira,409.215.922,140.417.321,1.831.296.564,0,0
5,5,20140805,agosto,ter?a-feira,449.647.565,149.700.286,199.427.413,0,0
6,6,20140806,agosto,quarta-feira,439.396.726,129.662.053,1.709.330.621,0,0
7,7,20140807,agosto,quinta-feira,429.216.062,133.359.232,1.458.831.925,0,0
8,8,20140808,agosto,sexta-feira,455.002.428,112071.1,1.679.836.804,0,0
9,9,20140809,agosto,s?bado,449.539.824,111870.41,1.903.723.947,0,0
10,10,20140810,agosto,domingo,467.541.699,91762.2,1.697.413.009,0,0
11,11,20140811,agosto,segunda-feira,42.526.276,137730.94,1.353.982.921,0,0
12,12,20140812,agosto,ter?a-feira,42.970.555,128.099.411,9.243.775.482,0,0
13,13,20140813,agosto,quarta-feira,437.405.242,118.893.844,9.872.581.459,0,0
14,14,20140814,agosto,quinta-feira,456.476.041,123.830.082,1.603.650.371,0,0
15,15,20140815,agosto,sexta-feira,441.478.855,128.679.703,2.063.206.981,0,0
16,16,20140816,agosto,s?bado,401.704.604,118325.24,1.250.083.054,0,0
17,17,20140817,agosto,domingo,420.967.483,123964.47,1.609.365.581,0,0
18,18,20140818,agosto,segunda-feira,418.110.568,150.145.806,1.616.599.376,0,0
19,19,20140819,agosto,ter?a-feira,434.901.013,131.380.592,1.697.736.543,0,0
20,20,20140820,agosto,quarta-feira,394.251.895,146.732.435,1.465.971.538,0,0
21,21,20140821,agosto,quinta-feira,41.238.224,119.766.519,1.551.783.692,0,0
22,22,20140822,agosto,sexta-feira,410.868.818,89.935.341,1.057.253.386,0,0
23,23,20140823,agosto,s?bado,410.116.185,75009.51,8.076.136.787,0,0
24,24,20140824,agosto,domingo,426.820.279,80499.27,1.230.047.343,0,0
25,25,20140825,agosto,segunda-feira,394.198.555,110.725.561,8.848.947.597,0,0
26,26,20140826,agosto,ter?a-feira,37.945.537,107.951.814,8.302.761.755,0,0
27,27,20140827,agosto,quarta-feira,377.643.445,118.215.518,1.045.951.524,0,0
28,28,20140828,agosto,quinta-feira,399.795.443,125.583.493,1.465.509.637,0,0
29,29,20140829,agosto,sexta-feira,445.992.885,100.427.893,1.514.616.691,0,0
30,30,20140830,agosto,s?bado,39.644.587,62.930.311,6.982.178.979,0,0
