date,Nascimentos,PIB
01/08/2014,7.696,4.83
02/08/2014,7.696,4.83
03/08/2014,7.696,4.83
04/08/2014,7.696,4.83
05/08/2014,7.696,4.83
06/08/2014,7.696,4.83
07/08/2014,7.696,4.83
08/08/2014,7.696,4.83
09/08/2014,7.696,4.83
10/08/2014,7.696,4.83
11/08/2014,7.696,4.83
12/08/2014,7.696,4.83
13/08/2014,7.696,4.83
14/08/2014,7.696,4.83
15/08/2014,7.696,4.83
16/08/2014,7.696,4.83
17/08/2014,7.696,4.83
18/08/2014,7.696,4.83
19/08/2014,7.696,4.83
20/08/2014,7.696,4.83
21/08/2014,7.696,4.83
22/08/2014,7.696,4.83
23/08/2014,7.696,4.83
24/08/2014,7.696,4.83
25/08/2014,7.696,4.83
26/08/2014,7.696,4.83
27/08/2014,7.696,4.83
28/08/2014,7.696,4.83
29/08/2014,7.696,4.83
30/08/2014,7.696,4.83
31/08/2014,7.696,4.83
01/09/2014,8.043,5.03
02/09/2014,8.043,5.03
03/09/2014,8.043,5.03
04/09/2014,8.043,5.03
05/09/2014,8.043,5.03
06/09/2014,8.043,5.03
07/09/2014,8.043,5.03
08/09/2014,8.043,5.03
09/09/2014,8.043,5.03
10/09/2014,8.043,5.03
11/09/2014,8.043,5.03
12/09/2014,8.043,5.03
13/09/2014,8.043,5.03
14/09/2014,8.043,5.03
15/09/2014,8.043,5.03
16/09/2014,8.043,5.03
17/09/2014,8.043,5.03
18/09/2014,8.043,5.03
19/09/2014,8.043,5.03
20/09/2014,8.043,5.03
21/09/2014,8.043,5.03
22/09/2014,8.043,5.03
23/09/2014,8.043,5.03
24/09/2014,8.043,5.03
25/09/2014,8.043,5.03
26/09/2014,8.043,5.03
27/09/2014,8.043,5.03
28/09/2014,8.043,5.03
29/09/2014,8.043,5.03
30/09/2014,8.043,5.03
01/10/2014,7.447,5.03
02/10/2014,7.447,5.03
03/10/2014,7.447,5.03
04/10/2014,7.447,5.03
05/10/2014,7.447,5.03
06/10/2014,7.447,5.03
07/10/2014,7.447,5.03
08/10/2014,7.447,5.03
09/10/2014,7.447,5.03
10/10/2014,7.447,5.03
11/10/2014,7.447,5.03
12/10/2014,7.447,5.03
13/10/2014,7.447,5.03
14/10/2014,7.447,5.03
15/10/2014,7.447,5.03
16/10/2014,7.447,5.03
17/10/2014,7.447,5.03
18/10/2014,7.447,5.03
19/10/2014,7.447,5.03
20/10/2014,7.447,5.03
21/10/2014,7.447,5.03
22/10/2014,7.447,5.03
23/10/2014,7.447,5.03
24/10/2014,7.447,5.03
25/10/2014,7.447,5.03
26/10/2014,7.447,5.03
27/10/2014,7.447,5.03
28/10/2014,7.447,5.03
29/10/2014,7.447,5.03
30/10/2014,7.447,5.03
31/10/2014,7.447,5.03
01/11/2014,7.400,5.00
02/11/2014,7.400,5.00
03/11/2014,7.400,5.00
04/11/2014,7.400,5.00
05/11/2014,7.400,5.00
06/11/2014,7.400,5.00
07/11/2014,7.400,5.00
08/11/2014,7.400,5.00
09/11/2014,7.400,5.00
10/11/2014,7.400,5.00
