date,Nascimentos,PIB
01/08/2014,7.696,"4,8273"
02/08/2014,7.696,"4,8273"
03/08/2014,7.696,"4,8273"
04/08/2014,7.696,"4,8273"
05/08/2014,7.696,"4,8273"
06/08/2014,7.696,"4,8273"
07/08/2014,7.696,"4,8273"
08/08/2014,7.696,"4,8273"
09/08/2014,7.696,"4,8273"
10/08/2014,7.696,"4,8273"
11/08/2014,7.696,"4,8273"
12/08/2014,7.696,"4,8273"
13/08/2014,7.696,"4,8273"
14/08/2014,7.696,"4,8273"
15/08/2014,7.696,"4,8273"
16/08/2014,7.696,"4,8273"
17/08/2014,7.696,"4,8273"
18/08/2014,7.696,"4,8273"
19/08/2014,7.696,"4,8273"
20/08/2014,7.696,"4,8273"
21/08/2014,7.696,"4,8273"
22/08/2014,7.696,"4,8273"
23/08/2014,7.696,"4,8273"
24/08/2014,7.696,"4,8273"
25/08/2014,7.696,"4,8273"
26/08/2014,7.696,"4,8273"
27/08/2014,7.696,"4,8273"
28/08/2014,7.696,"4,8273"
29/08/2014,7.696,"4,8273"
30/08/2014,7.696,"4,8273"
31/08/2014,7.696,"4,8273"
01/09/2014,8.043,"5,0259"
02/09/2014,8.043,"5,0259"
03/09/2014,8.043,"5,0259"
04/09/2014,8.043,"5,0259"
05/09/2014,8.043,"5,0259"
06/09/2014,8.043,"5,0259"
07/09/2014,8.043,"5,0259"
08/09/2014,8.043,"5,0259"
09/09/2014,8.043,"5,0259"
10/09/2014,8.043,"5,0259"
11/09/2014,8.043,"5,0259"
12/09/2014,8.043,"5,0259"
13/09/2014,8.043,"5,0259"
14/09/2014,8.043,"5,0259"
15/09/2014,8.043,"5,0259"
16/09/2014,8.043,"5,0259"
17/09/2014,8.043,"5,0259"
18/09/2014,8.043,"5,0259"
19/09/2014,8.043,"5,0259"
20/09/2014,8.043,"5,0259"
21/09/2014,8.043,"5,0259"
22/09/2014,8.043,"5,0259"
23/09/2014,8.043,"5,0259"
24/09/2014,8.043,"5,0259"
25/09/2014,8.043,"5,0259"
26/09/2014,8.043,"5,0259"
27/09/2014,8.043,"5,0259"
28/09/2014,8.043,"5,0259"
29/09/2014,8.043,"5,0259"
30/09/2014,8.043,"5,0259"
01/10/2014,7.447,"4,8612"
02/10/2014,7.447,"4,8612"
03/10/2014,7.447,"4,8612"
04/10/2014,7.447,"4,8612"
05/10/2014,7.447,"4,8612"
06/10/2014,7.447,"4,8612"
07/10/2014,7.447,"4,8612"
08/10/2014,7.447,"4,8612"
09/10/2014,7.447,"4,8612"
10/10/2014,7.447,"4,8612"
11/10/2014,7.447,"4,8612"
12/10/2014,7.447,"4,8612"
13/10/2014,7.447,"4,8612"
14/10/2014,7.447,"4,8612"
15/10/2014,7.447,"4,8612"
16/10/2014,7.447,"4,8612"
17/10/2014,7.447,"4,8612"
18/10/2014,7.447,"4,8612"
19/10/2014,7.447,"4,8612"
20/10/2014,7.447,"4,8612"
21/10/2014,7.447,"4,8612"
22/10/2014,7.447,"4,8612"
23/10/2014,7.447,"4,8612"
24/10/2014,7.447,"4,8612"
25/10/2014,7.447,"4,8612"
26/10/2014,7.447,"4,8612"
27/10/2014,7.447,"4,8612"
28/10/2014,7.447,"4,8612"
29/10/2014,7.447,"4,8612"
30/10/2014,7.447,"4,8612"
31/10/2014,7.447,"4,8612"
01/11/2014,7.400,"5,0036"
02/11/2014,7.400,"5,0036"
03/11/2014,7.400,"5,0036"
04/11/2014,7.400,"5,0036"
05/11/2014,7.400,"5,0036"
06/11/2014,7.400,"5,0036"
07/11/2014,7.400,"5,0036"
08/11/2014,7.400,"5,0036"
09/11/2014,7.400,"5,0036"
