date,Nascimentos
01/08/2014,238.561
02/08/2014,238.561
03/08/2014,238.561
04/08/2014,238.561
05/08/2014,238.561
06/08/2014,238.561
07/08/2014,238.561
08/08/2014,238.561
09/08/2014,238.561
10/08/2014,238.561
11/08/2014,238.561
12/08/2014,238.561
13/08/2014,238.561
14/08/2014,238.561
15/08/2014,238.561
16/08/2014,238.561
17/08/2014,238.561
18/08/2014,238.561
19/08/2014,238.561
20/08/2014,238.561
21/08/2014,238.561
22/08/2014,238.561
23/08/2014,238.561
24/08/2014,238.561
25/08/2014,238.561
26/08/2014,238.561
27/08/2014,238.561
28/08/2014,238.561
29/08/2014,238.561
30/08/2014,238.561
31/08/2014,238.561
01/09/2014,241.299
02/09/2014,241.299
03/09/2014,241.299
04/09/2014,241.299
05/09/2014,241.299
06/09/2014,241.299
07/09/2014,241.299
08/09/2014,241.299
09/09/2014,241.299
10/09/2014,241.299
11/09/2014,241.299
12/09/2014,241.299
13/09/2014,241.299
14/09/2014,241.299
15/09/2014,241.299
16/09/2014,241.299
17/09/2014,241.299
18/09/2014,241.299
19/09/2014,241.299
20/09/2014,241.299
21/09/2014,241.299
22/09/2014,241.299
23/09/2014,241.299
24/09/2014,241.299
25/09/2014,241.299
26/09/2014,241.299
27/09/2014,241.299
28/09/2014,241.299
29/09/2014,241.299
30/09/2014,241.299
01/10/2014,230.859
02/10/2014,230.859
03/10/2014,230.859
04/10/2014,230.859
05/10/2014,230.859
06/10/2014,230.859
07/10/2014,230.859
08/10/2014,230.859
09/10/2014,230.859
10/10/2014,230.859
11/10/2014,230.859
12/10/2014,230.859
13/10/2014,230.859
14/10/2014,230.859
15/10/2014,230.859
16/10/2014,230.859
17/10/2014,230.859
18/10/2014,230.859
19/10/2014,230.859
20/10/2014,230.859
21/10/2014,230.859
22/10/2014,230.859
23/10/2014,230.859
24/10/2014,230.859
25/10/2014,230.859
26/10/2014,230.859
27/10/2014,230.859
28/10/2014,230.859
29/10/2014,230.859
30/10/2014,230.859
31/10/2014,230.859
01/11/2014,221.993
02/11/2014,221.993
03/11/2014,221.993
04/11/2014,221.993
05/11/2014,221.993
06/11/2014,221.993
07/11/2014,221.993
08/11/2014,221.993
09/11/2014,221.993
10/11/2014,221.993
11/11/2014,221.993
12/11/2014,221.993
13/11/2014,221.993
14/11/2014,221.993
15/11/2014,221.993
16/11/2014,221.993
17/11/2014,221.993
18/11/2014,221.993
19/11/2014,221.993
20/11/2014,221.993
21/11/2014,221.993
22/11/2014,221.993
23/11/2014,221.993
24/11/2014,221.993
25/11/2014,221.993
26/11/2014,221.993
27/11/2014,221.993
28/11/2014,221.993
29/11/2014,221.993
30/11/2014,221.993
01/12/2014,235.066
02/12/2014,235.066
03/12/2014,235.066
04/12/2014,235.066
05/12/2014,235.066
06/12/2014,235.066
07/12/2014,235.066
08/12/2014,235.066
09/12/2014,235.066
10/12/2014,235.066
11/12/2014,235.066
12/12/2014,235.066
13/12/2014,235.066
14/12/2014,235.066
15/12/2014,235.066
16/12/2014,235.066
17/12/2014,235.066
18/12/2014,235.066
19/12/2014,235.066
20/12/2014,235.066
21/12/2014,235.066
22/12/2014,235.066
23/12/2014,235.066
24/12/2014,235.066
25/12/2014,235.066
26/12/2014,235.066
27/12/2014,235.066
28/12/2014,235.066
29/12/2014,235.066
30/12/2014,235.066
31/12/2014,235.066
01/01/2015,250.971
02/01/2015,250.971
03/01/2015,250.971
04/01/2015,250.971
05/01/2015,250.971
06/01/2015,250.971
07/01/2015,250.971
08/01/2015,250.971
09/01/2015,250.971
10/01/2015,250.971
11/01/2015,250.971
12/01/2015,250.971
13/01/2015,250.971
14/01/2015,250.971
15/01/2015,250.971
16/01/2015,250.971
17/01/2015,250.971
18/01/2015,250.971
19/01/2015,250.971
20/01/2015,250.971
21/01/2015,250.971
22/01/2015,250.971
23/01/2015,250.971
24/01/2015,250.971
25/01/2015,250.971
26/01/2015,250.971
27/01/2015,250.971
28/01/2015,250.971
29/01/2015,250.971
30/01/2015,250.971
31/01/2015,250.971
01/02/2015,236.110
02/02/2015,236.110
03/02/2015,236.110
04/02/2015,236.110
05/02/2015,236.110
06/02/2015,236.110
07/02/2015,236.110
08/02/2015,236.110
09/02/2015,236.110
10/02/2015,236.110
11/02/2015,236.110
12/02/2015,236.110
13/02/2015,236.110
14/02/2015,236.110
15/02/2015,236.110
16/02/2015,236.110
17/02/2015,236.110
18/02/2015,236.110
19/02/2015,236.110
20/02/2015,236.110
21/02/2015,236.110
22/02/2015,236.110
23/02/2015,236.110
24/02/2015,236.110
25/02/2015,236.110
26/02/2015,236.110
27/02/2015,236.110
28/02/2015,236.110
01/03/2015,273.369
02/03/2015,273.369
03/03/2015,273.369
04/03/2015,273.369
05/03/2015,273.369
06/03/2015,273.369
07/03/2015,273.369
08/03/2015,273.369
09/03/2015,273.369
10/03/2015,273.369
11/03/2015,273.369
12/03/2015,273.369
13/03/2015,273.369
14/03/2015,273.369
15/03/2015,273.369
16/03/2015,273.369
17/03/2015,273.369
18/03/2015,273.369
19/03/2015,273.369
20/03/2015,273.369
21/03/2015,273.369
22/03/2015,273.369
23/03/2015,273.369
24/03/2015,273.369
25/03/2015,273.369
26/03/2015,273.369
27/03/2015,273.369
28/03/2015,273.369
29/03/2015,273.369
30/03/2015,273.369
31/03/2015,273.369
01/04/2015,259.960
02/04/2015,259.960
03/04/2015,259.960
04/04/2015,259.960
05/04/2015,259.960
06/04/2015,259.960
07/04/2015,259.960
08/04/2015,259.960
09/04/2015,259.960
10/04/2015,259.960
11/04/2015,259.960
12/04/2015,259.960
13/04/2015,259.960
14/04/2015,259.960
15/04/2015,259.960
16/04/2015,259.960
17/04/2015,259.960
18/04/2015,259.960
19/04/2015,259.960
20/04/2015,259.960
21/04/2015,259.960
22/04/2015,259.960
23/04/2015,259.960
24/04/2015,259.960
25/04/2015,259.960
26/04/2015,259.960
27/04/2015,259.960
28/04/2015,259.960
29/04/2015,259.960
30/04/2015,259.960
01/05/2015,264.088
02/05/2015,264.088
03/05/2015,264.088
04/05/2015,264.088
05/05/2015,264.088
06/05/2015,264.088
07/05/2015,264.088
08/05/2015,264.088
09/05/2015,264.088
10/05/2015,264.088
11/05/2015,264.088
12/05/2015,264.088
13/05/2015,264.088
